side,type,entry_time,exit_time,entry_price,exit_price,size_btc,stop_loss,pnl,half_closed_at_tp1,duration_hours
long,rolling,2022-03-20 20:00:00,2022-03-21 00:00:00,41262.11,40487.18,0.045318,40487.18,-36.95,False,4.0
short,primary,2022-03-22 16:00:00,2022-03-24 12:00:00,42284.41,43800.13,0.094202,43800.13,-146.91,False,44.0
long,rolling,2022-03-27 20:00:00,2022-03-28 20:00:00,46827.76,46903.06,0.004079,46074.76,4.53,True,24.0
long,primary,2022-03-11 08:00:00,2022-03-31 12:00:00,39893.68,46340.41,0.037765,37245.75,390.06,True,484.0
long,rolling,2022-03-24 12:00:00,2022-03-31 12:00:00,44000.01,46340.41,0.006798,42936.23,26.13,True,168.0
short,primary,2022-03-28 20:00:00,2022-04-13 12:00:00,47122.21,41205.17,0.042314,49167.01,376.55,True,376.0
short,rolling,2022-04-06 12:00:00,2022-04-13 12:00:00,44168.35,41205.17,0.012694,45335.56,58.78,True,168.0
short,rolling,2022-04-10 16:00:00,2022-04-13 12:00:00,43235.77,41205.17,0.007617,44001.01,23.57,True,68.0
short,rolling,2022-04-11 08:00:00,2022-04-13 12:00:00,41067.63,40988.61,0.00457,41857.81,5.41,True,52.0
long,primary,2022-04-23 04:00:00,2022-04-26 16:00:00,39600.98,38195.71,0.107928,38195.71,-155.79,False,84.0
long,primary,2022-04-30 04:00:00,2022-05-01 00:00:00,38650.34,37521.98,0.108926,37521.98,-126.99,False,20.0
long,primary,2022-05-06 12:00:00,2022-05-08 16:00:00,36004.34,33960.51,0.10171,33960.51,-211.33,False,52.0
long,rolling,2022-05-17 16:00:00,2022-05-18 12:00:00,30097.09,28880.33,0.012557,28880.33,-15.64,False,20.0
long,rolling,2022-05-14 20:00:00,2022-05-26 12:00:00,30086.74,28555.15,0.034882,28555.15,-54.42,False,280.0
long,rolling,2022-05-16 12:00:00,2022-05-26 12:00:00,29676.56,28358.97,0.020929,28358.97,-28.17,False,240.0
short,primary,2022-05-30 16:00:00,2022-05-30 20:00:00,30643.11,31483.71,0.13154,31483.71,-114.71,False,4.0
long,primary,2022-05-12 08:00:00,2022-06-13 00:00:00,28472.98,24971.23,0.058136,24971.23,-205.03,False,760.0
long,primary,2022-06-14 04:00:00,2022-06-18 04:00:00,22877.52,19742.29,0.062217,19742.29,-196.29,False,96.0
long,primary,2022-06-28 04:00:00,2022-06-29 04:00:00,20879.39,20146.78,0.183028,20146.78,-137.78,False,24.0
short,rolling,2022-06-30 08:00:00,2022-06-30 20:00:00,19101.36,19707.83,0.051611,19707.83,-32.32,False,12.0
short,primary,2022-06-20 16:00:00,2022-07-08 00:00:00,20072.81,22294.52,0.086019,22294.52,-193.03,False,416.0
short,primary,2022-07-08 04:00:00,2022-07-13 20:00:00,21797.64,20321.96,0.079213,22957.27,251.48,True,136.0
long,primary,2022-08-05 00:00:00,2022-08-15 04:00:00,23175.32,23986.59,0.078521,21973.88,201.36,True,244.0
long,primary,2022-08-15 20:00:00,2022-08-19 00:00:00,24094.82,23109.08,0.159895,23109.08,-161.31,False,76.0
long,primary,2022-08-27 08:00:00,2022-08-28 20:00:00,20211.21,19605.73,0.187275,19605.73,-117.06,False,36.0
short,primary,2022-08-22 04:00:00,2022-08-29 12:00:00,21097.72,20305.15,0.089739,21965.75,184.37,True,176.0
long,primary,2022-09-07 12:00:00,2022-09-13 12:00:00,18871.35,21458.66,0.100959,18172.39,362.88,True,144.0
long,rolling,2022-09-09 04:00:00,2022-09-13 12:00:00,20631.76,21458.66,0.030288,20094.23,48.17,True,104.0
long,rolling,2022-09-09 08:00:00,2022-09-13 12:00:00,20937.72,21458.66,0.018173,20377.44,23.95,True,100.0
long,rolling,2022-09-09 12:00:00,2022-09-13 12:00:00,21266.79,21458.66,0.010904,20679.41,11.22,True,96.0
long,primary,2022-09-14 08:00:00,2022-09-19 00:00:00,20225.35,19207.47,0.19582,19207.47,-203.08,False,112.0
long,rolling,2022-10-26 08:00:00,2022-10-27 20:00:00,20607.81,20201.32,0.060701,20201.32,-25.9,False,36.0
long,rolling,2022-10-26 12:00:00,2022-10-27 20:00:00,20846.66,20382.37,0.036421,20382.37,-17.65,False,32.0
long,primary,2022-09-19 12:00:00,2022-10-28 04:00:00,19080.49,20072.85,0.101169,18115.86,242.67,True,928.0
long,primary,2022-10-28 12:00:00,2022-11-08 04:00:00,20484.59,19494.27,0.194337,19494.27,-196.25,False,256.0
long,primary,2022-11-22 00:00:00,2022-11-28 00:00:00,15847.82,16249.49,0.123072,15349.06,137.47,True,144.0
long,rolling,2022-11-26 16:00:00,2022-11-28 00:00:00,16488.43,16269.89,0.044306,16269.89,-10.4,False,32.0
long,rolling,2022-11-26 20:00:00,2022-11-28 00:00:00,16458.57,16238.3,0.026583,16238.3,-6.29,False,28.0
long,rolling,2022-11-23 12:00:00,2022-12-05 16:00:00,16427.11,16964.91,0.036921,15975.4,43.61,True,292.0
long,primary,2022-11-28 16:00:00,2022-12-05 16:00:00,16224.75,16964.91,0.121624,15746.85,173.08,True,168.0
long,rolling,2022-11-30 00:00:00,2022-12-05 16:00:00,16845.25,16964.91,0.036487,16496.08,22.22,True,136.0
long,rolling,2022-12-03 20:00:00,2022-12-05 16:00:00,16885.2,16964.91,0.021892,16693.59,7.29,True,44.0
long,rolling,2022-12-04 00:00:00,2022-12-05 16:00:00,16959.64,16979.53,0.013135,16760.71,3.73,True,40.0
short,primary,2022-12-05 12:00:00,2022-12-13 12:00:00,17083.92,17540.93,0.234087,17540.93,-111.09,False,192.0
short,primary,2022-12-14 04:00:00,2022-12-14 12:00:00,17806.01,18082.81,0.224533,18082.81,-66.21,False,8.0
long,primary,2022-12-28 08:00:00,2022-12-28 20:00:00,16678.98,16481.81,0.237926,16481.81,-50.83,False,12.0
short,primary,2022-12-21 00:00:00,2023-01-09 00:00:00,16837.1,17210.35,0.235786,17210.35,-92.06,False,456.0
