side,type,entry_time,exit_time,entry_price,exit_price,size_btc,stop_loss,pnl,half_closed_at_tp1,duration_hours
short,primary,2023-04-05 12:00:00,2023-04-10 20:00:00,28031.09,29421.24,0.142699,29421.24,-202.57,False,128.0
long,primary,2023-08-11 08:00:00,2023-08-15 16:00:00,29445.96,29065.61,0.133036,29065.61,-54.47,False,104.0
short,rolling,2024-03-19 08:00:00,2024-03-19 16:00:00,63081.34,65685.85,0.016356,65685.85,-43.67,False,8.0
short,primary,2024-03-18 12:00:00,2024-03-20 20:00:00,67467.19,66375.43,0.02726,71038.41,123.56,True,56.0
short,primary,2024-03-23 20:00:00,2024-03-24 20:00:00,63990.01,67344.03,0.058498,67344.03,-200.14,False,24.0
short,primary,2025-01-29 12:00:00,2025-01-30 00:00:00,101980.78,105280.01,0.037679,105280.01,-128.28,False,12.0
short,rolling,2025-02-18 16:00:00,2025-02-18 20:00:00,94104.14,95585.28,0.01824,95585.28,-28.76,False,4.0
short,primary,2025-02-04 04:00:00,2025-02-28 16:00:00,98448.02,85052.89,0.0152,104680.93,295.66,True,588.0
short,rolling,2025-02-24 12:00:00,2025-02-28 16:00:00,94323.95,85052.89,0.005472,95411.85,55.71,True,100.0
short,rolling,2025-02-24 20:00:00,2025-02-28 16:00:00,91552.88,85052.89,0.001642,93047.43,12.84,True,92.0
long,rolling,2025-04-21 00:00:00,2025-04-21 16:00:00,87205.56,87303.13,0.006999,86229.87,6.28,True,16.0
long,rolling,2025-04-21 12:00:00,2025-04-21 16:00:00,88044.8,86838.11,0.008398,86838.11,-10.86,False,4.0
long,primary,2025-04-16 08:00:00,2025-04-30 12:00:00,84048.11,93392.3,0.023329,81619.02,270.46,True,340.0
long,rolling,2025-04-22 12:00:00,2025-04-30 12:00:00,90934.61,93392.3,0.002519,89126.49,10.28,True,192.0
long,primary,2025-09-07 00:00:00,2025-09-09 00:00:00,110629.15,111170.21,0.018211,108581.7,43.06,True,48.0
short,primary,2025-09-25 00:00:00,2025-09-28 20:00:00,112546.21,110763.31,0.01797,115018.23,72.49,True,92.0
long,primary,2025-10-06 00:00:00,2025-10-07 12:00:00,123839.09,121459.82,0.032884,121459.82,-82.23,False,36.0
long,primary,2025-11-30 04:00:00,2025-12-01 00:00:00,90968.16,89392.83,0.044387,89392.83,-73.89,False,20.0
