total_return_pct,final_equity,max_drawdown_pct,sharpe_ratio,win_rate_pct,profit_factor,total_trades,long_trades,short_trades,long_pnl,short_pnl,liquidations,liq_loss,avg_win,avg_loss,cooldown,leverage_tier,risk_pct,trail_atr_mult,fib_tolerance,long_only,score
2144586.43,214468642.74,54.85,1.915,53.12,12.483,96,85,11,221202197.85,-2657912.19,1,1481072.91,4658359.99,-422934.98,12,aggressive,0.08,3.5,0.012,False,605522.5379407476
2095294.22,209539422.2,54.85,1.912,53.12,12.454,96,85,11,216068136.63,-2551060.71,1,1489284.23,4552136.93,-414264.61,12,aggressive,0.08,3.0,0.012,False,591606.4976791249
2012385.06,201248505.56,54.85,1.906,52.58,12.224,97,86,11,207486664.68,-2390299.1,1,1497495.56,4379789.92,-397237.39,12,aggressive,0.08,2.5,0.012,False,568199.7845414769
1926488.82,192658881.99,54.85,1.901,50.59,17.065,85,85,0,195654093.49,0.0,1,1413440.12,4833333.75,-289982.33,12,aggressive,0.08,3.5,0.012,True,543949.8027019143
1882209.24,188230924.11,54.85,1.898,50.59,16.961,85,85,0,191155678.7,0.0,1,1421276.47,4723996.94,-285147.37,12,aggressive,0.08,3.0,0.012,True,531448.905112124
1808288.78,180838877.99,54.85,1.893,50.0,16.501,86,86,0,183671461.41,0.0,1,1429112.83,4546994.2,-275564.86,12,aggressive,0.08,2.5,0.012,True,510579.870461258
1739331.74,173943174.2,54.85,1.888,52.04,9.138,98,87,11,180048920.67,-2302889.04,1,1420679.1,3913490.45,-464723.01,12,aggressive,0.08,2.0,0.012,False,491107.7757411121
1656502.89,165660288.62,54.85,1.881,49.43,11.422,87,87,0,168650229.42,0.0,1,1436949.19,4298415.77,-367764.75,12,aggressive,0.08,2.0,0.012,True,467728.0153536918
1540634.34,154073433.77,54.85,1.872,51.76,11.26,85,77,8,158959156.06,-1869647.48,1,1943439.19,3918199.28,-373445.36,12,aggressive,0.08,3.0,0.005,False,435016.2686581586
1533192.29,153329228.81,54.85,1.871,51.76,11.254,85,77,8,158165549.44,-1832831.93,1,1954154.55,3899520.58,-371858.24,12,aggressive,0.08,2.5,0.005,False,432915.2332935278
1510117.93,151021793.2,54.85,1.869,51.76,11.178,85,77,8,155834173.02,-1841577.27,1,1932723.84,3843688.53,-369017.06,12,aggressive,0.08,3.5,0.005,False,426400.9259899726
1407030.6,140713060.0,54.85,1.86,51.16,8.502,86,78,8,145714733.1,-1849555.89,1,1964869.91,3705513.26,-456604.91,12,aggressive,0.08,2.0,0.005,False,397290.024603464
1205055.37,120515536.91,54.85,1.84,49.35,14.737,77,77,0,122440815.75,0.0,1,1615068.15,3456692.34,-228551.11,12,aggressive,0.08,3.0,0.005,True,340276.19561440294
1199600.93,119970092.75,54.85,1.84,49.35,14.7,77,77,0,121888336.68,0.0,1,1623973.0,3441719.17,-228128.0,12,aggressive,0.08,2.5,0.005,True,338736.3231731996
1181185.58,118128557.58,54.85,1.838,49.35,14.611,77,77,0,120024777.89,0.0,1,1606163.3,3390607.65,-226110.58,12,aggressive,0.08,3.5,0.005,True,333537.3261677302
