side,leverage,entry_time,exit_time,entry_price,exit_price,margin,pnl,close_reason,confluence,fib_level,duration_hours
long,10,2017-09-22 04:00:00,2017-10-03 12:00:00,3658.46,4187.42,5000.0,9159.03,stop_loss,TD9_buy|MACD_div_1,,272.0
long,5,2017-11-11 16:00:00,2017-11-12 04:00:00,6240.03,5818.35,8483.29,-2905.9,stop_loss,TD9_buy|Fib_0.618,0.618,12.0
long,5,2017-12-28 16:00:00,2017-12-30 12:00:00,13736.43,12252.12,4486.75,-2444.12,stop_loss,TD9_buy|Fib_0.500,0.500,44.0
long,5,2018-01-08 16:00:00,2018-01-09 12:00:00,15196.55,14026.5,5335.77,-2078.75,stop_loss,TD9_buy|Fib_0.382,0.382,20.0
long,10,2018-01-17 08:00:00,2018-01-17 12:00:00,9808.14,12636.12,1205.78,3461.08,stop_loss,TD9_buy|MACD_div_1,,4.0
short,5,2018-01-28 04:00:00,2018-01-30 16:00:00,11969.0,9900.24,7518.88,5390.71,take_profit_2,TD9_sell|Fib_0.382,0.382,60.0
long,10,2018-02-05 16:00:00,2018-02-05 20:00:00,6698.33,10401.8,1106.41,6100.08,stop_loss,TD9_buy|MACD_div_1,,4.0
short,3,2018-02-15 08:00:00,2018-02-15 12:00:00,9566.56,8342.26,6207.33,2366.95,stop_loss,TD9_sell|volume_spike,,4.0
long,5,2018-03-07 04:00:00,2018-03-07 16:00:00,10510.0,10124.28,14414.11,-2714.46,stop_loss,TD9_buy|Fib_0.500,0.500,12.0
long,10,2018-03-18 12:00:00,2018-03-18 16:00:00,7385.0,8662.81,4515.16,7759.54,stop_loss,TD9_buy|MACD_div_2,,4.0
long,3,2018-03-21 16:00:00,2018-03-23 00:00:00,8862.92,8426.3,16878.04,-2542.57,stop_loss,MACD_div_2|Fib_0.382,0.382,32.0
long,3,2018-03-25 12:00:00,2018-03-26 08:00:00,8480.0,8105.63,15581.43,-2108.33,stop_loss,MACD_div_2|Fib_0.382,0.382,20.0
long,10,2018-03-30 08:00:00,2018-03-30 12:00:00,7027.72,7718.97,8847.37,8605.16,stop_loss,TD9_buy|MACD_div_1,,4.0
long,3,2018-04-03 16:00:00,2018-04-04 08:00:00,7467.11,7135.78,18762.24,-2551.36,stop_loss,MACD_div_2|Fib_0.618,0.618,16.0
short,5,2018-04-11 16:00:00,2018-04-12 08:00:00,6910.63,7080.63,17458.42,-2236.85,stop_loss,TD9_sell|Fib_0.618,0.618,16.0
long,5,2018-05-07 08:00:00,2018-05-08 12:00:00,9339.0,9061.47,16296.35,-2500.52,stop_loss,TD9_buy|Fib_0.618,0.618,28.0
long,10,2018-06-05 04:00:00,2018-06-10 00:00:00,7412.01,7261.04,15005.35,-3203.43,stop_loss,TD9_buy|MACD_div_1|Fib_0.500,0.500,116.0
long,10,2018-06-11 00:00:00,2018-06-11 04:00:00,6768.6,7445.1,8001.44,7909.15,stop_loss,TD9_buy|MACD_div_1,,4.0
long,10,2018-06-22 16:00:00,2018-06-22 20:00:00,6192.39,6273.41,17243.17,2081.51,stop_loss,TD9_buy|MACD_div_1,,4.0
short,10,2018-07-15 16:00:00,2018-07-16 08:00:00,6361.66,6484.15,18170.41,-3683.81,stop_loss,TD9_sell|MACD_bear_div_1|Fib_0.618,0.618,16.0
long,3,2018-06-29 20:00:00,2018-07-18 00:00:00,6197.92,7516.44,18197.71,9885.7,take_profit_2,MACD_div_2|Fib_0.618,0.618,436.0
long,10,2018-08-09 04:00:00,2018-08-09 08:00:00,6311.99,6588.26,21180.51,9049.4,stop_loss,TD9_buy|MACD_div_1,,4.0
long,3,2018-08-19 16:00:00,2018-08-22 16:00:00,6375.48,6420.06,25599.31,2873.76,stop_loss,MACD_div_2|Fib_0.382,0.382,72.0
short,3,2018-08-26 00:00:00,2018-08-26 12:00:00,6616.99,6726.18,26997.79,-1418.85,stop_loss,MACD_bear_div_2|Fib_0.382,0.382,12.0
short,3,2018-08-30 16:00:00,2018-08-30 20:00:00,6809.98,6919.06,26247.87,-1341.29,stop_loss,MACD_bear_div_2|Fib_0.382,0.382,4.0
short,10,2018-09-14 00:00:00,2018-09-14 16:00:00,6542.37,6527.03,25537.85,3040.92,stop_loss,TD9_sell|MACD_bear_div_2,,16.0
short,3,2018-09-17 12:00:00,2018-09-18 00:00:00,6265.06,6259.8,26930.62,292.84,stop_loss,MACD_bear_div_2|Fib_0.618,0.618,12.0
short,10,2018-09-21 00:00:00,2018-09-21 04:00:00,6554.7,6475.96,27036.64,2980.71,stop_loss,TD9_sell|MACD_bear_div_1,,4.0
long,10,2018-09-24 20:00:00,2018-09-25 00:00:00,6581.39,6470.16,28391.82,-5077.55,stop_loss,TD9_buy|MACD_div_1|Fib_0.382,0.382,4.0
