bullet_id,side,entry_time,exit_time,entry_price,initial_margin,n_adds,total_pnl,pnl_multiple,close_reason,trailing_activated,peak_floating_pnl,confluence,fib_level,duration_days,n_legs_total,n_legs_liquidated
1,long,2017-09-22 04:00:00,2017-09-29 00:00:00,3658.46,500.0,2,853.04,1.71,trailing_stop,True,2691.42,TD9_buy|MACD_div_1,,6.8,3,0
2,long,2017-11-11 16:00:00,2017-11-12 00:00:00,6240.03,500.0,0,-500.0,-1.0,liquidation,False,8.04,TD9_buy|Fib_0.618,0.618,0.3,1,1
3,long,2017-12-28 16:00:00,2017-12-30 00:00:00,13736.43,500.0,1,-1075.74,-2.15,liquidation,True,719.67,TD9_buy|Fib_0.500,0.500,1.3,2,2
4,long,2018-01-08 16:00:00,2018-01-08 20:00:00,15196.55,500.0,0,-500.0,-1.0,liquidation,False,0.0,TD9_buy|Fib_0.382,0.382,0.2,1,1
5,long,2018-01-17 08:00:00,2018-01-17 12:00:00,9808.14,500.0,0,-500.0,-1.0,liquidation,False,0.0,TD9_buy|MACD_div_1,,0.2,1,1
7,long,2018-02-05 16:00:00,2018-02-06 00:00:00,6698.33,500.0,0,-500.0,-1.0,liquidation,False,360.78,TD9_buy|MACD_div_1,,0.3,1,1
6,short,2018-01-28 04:00:00,2018-02-06 20:00:00,11969.0,500.0,4,9994.69,19.99,trailing_stop,True,18218.42,TD9_sell|Fib_0.382,0.382,9.7,5,0
8,short,2018-02-15 08:00:00,2018-02-15 16:00:00,9566.56,500.0,0,-500.0,-1.0,liquidation,False,0.0,TD9_sell|volume_spike,,0.3,1,1
9,long,2018-03-07 04:00:00,2018-03-07 16:00:00,10510.0,500.0,0,-500.0,-1.0,liquidation,False,161.33,TD9_buy|Fib_0.500,0.500,0.5,1,1
11,long,2018-03-21 16:00:00,2018-03-23 00:00:00,8862.92,500.0,0,-500.0,-1.0,liquidation,False,173.86,MACD_div_2|Fib_0.382,0.382,1.3,1,1
10,long,2018-03-18 12:00:00,2018-03-26 08:00:00,7385.0,500.0,2,-64.86,-0.13,trailing_stop,True,4409.45,TD9_buy|MACD_div_2,,7.8,3,0
12,long,2018-03-25 12:00:00,2018-03-26 08:00:00,8480.0,500.0,0,-500.0,-1.0,liquidation,False,155.77,MACD_div_2|Fib_0.382,0.382,0.8,1,1
13,long,2018-03-30 08:00:00,2018-03-30 16:00:00,7027.72,500.0,0,-500.0,-1.0,liquidation,False,0.0,TD9_buy|MACD_div_1,,0.3,1,1
14,long,2018-04-03 16:00:00,2018-04-04 08:00:00,7467.11,500.0,0,-500.0,-1.0,liquidation,False,0.0,MACD_div_2|Fib_0.618,0.618,0.7,1,1
