mode,side,type,leverage,entry_time,exit_time,entry_price,exit_price,size_btc,margin,pnl,close_reason
M1,long,primary,3,2023-08-11 08:00:00,2023-08-15 16:00:00,29445.96,29065.61,0.374104,3671.95,-153.17,stop_loss
M1,short,primary,10,2025-02-04 04:00:00,2025-02-28 16:00:00,98448.02,85052.89,0.144646,2848.03,2813.48,stop_loss
M1,long,primary,3,2025-04-16 08:00:00,2025-04-30 12:00:00,84048.11,93392.3,0.084242,4720.28,976.66,stop_loss
M1,long,primary,3,2025-09-07 00:00:00,2025-09-09 00:00:00,110629.15,111170.21,0.069221,5105.27,163.69,stop_loss
M1,short,primary,10,2025-09-25 00:00:00,2025-09-28 20:00:00,112546.21,110763.31,0.229444,5164.62,925.6,stop_loss
M1,long,primary,10,2025-10-06 00:00:00,2025-10-07 12:00:00,123839.09,121459.82,0.445271,5514.2,-1113.5,stop_loss
M1,long,primary,3,2025-11-30 04:00:00,2025-12-01 00:00:00,90968.16,89392.83,0.166599,5051.73,-277.34,stop_loss
M2,long,base,5,2022-05-08 00:00:00,2022-05-12 04:00:00,34480.24,27584.19,0.029002,200.0,-200.8,liquidation
M2,long,base,10,2022-05-12 04:00:00,2022-05-14 12:00:00,28193.4,28845.5,0.069507,195.96,43.32,master_trail
M2,long,base,5,2022-05-14 12:00:00,2022-05-16 04:00:00,28818.06,29841.71,0.034144,196.79,33.93,master_trail
M2,long,base,5,2022-05-16 04:00:00,2022-05-30 20:00:00,29593.89,31235.69,0.03336,197.45,53.73,master_trail
M2,long,base,5,2022-05-30 20:00:00,2022-06-13 00:00:00,31734.22,25387.38,0.031276,198.51,-199.3,liquidation
M2,long,base,10,2022-06-13 00:00:00,2022-06-13 12:00:00,25520.05,22968.04,0.076214,194.5,-196.25,liquidation
M2,long,base,15,2022-06-13 12:00:00,2022-06-14 00:00:00,23271.54,21720.1,0.122812,190.54,-193.2,liquidation
M2,long,base,25,2022-06-14 00:00:00,2022-06-14 04:00:00,22127.91,22127.91,0.210836,186.61,-4.67,master_trail
M2,long,base,5,2022-06-14 04:00:00,2022-06-18 16:00:00,22877.52,18302.02,0.040745,186.43,-187.17,liquidation
M2,long,base,10,2022-06-18 16:00:00,2022-06-18 20:00:00,18067.6,18067.6,0.101101,182.67,-1.83,master_trail
M2,long,base,5,2022-06-18 20:00:00,2022-06-19 08:00:00,18970.79,18970.79,0.048125,182.59,-0.91,master_trail
M2,long,base,5,2022-06-19 08:00:00,2022-06-20 00:00:00,19692.5,19692.5,0.046352,182.56,-0.91,master_trail
M2,long,base,5,2022-06-20 00:00:00,2022-06-20 16:00:00,19980.49,19980.49,0.045674,182.52,-0.91,master_trail
M2,long,base,5,2022-06-20 16:00:00,2022-06-22 00:00:00,20072.81,20262.2,0.045455,182.48,7.69,master_trail
M2,long,base,5,2022-06-22 00:00:00,2022-06-26 20:00:00,20317.88,21111.66,0.04494,182.62,34.72,master_trail
M2,long,base,5,2022-06-26 20:00:00,2022-07-07 16:00:00,21038.07,21038.07,0.043563,183.29,-0.92,master_trail
M2,long,base,5,2022-07-07 16:00:00,2022-07-18 16:00:00,21812.47,21812.47,0.042008,183.26,-0.92,master_trail
M2,long,base,5,2022-08-28 00:00:00,2022-09-09 04:00:00,19990.58,20083.29,0.045827,183.22,3.33,master_trail
M2,long,base,5,2022-11-13 00:00:00,2022-12-13 08:00:00,16914.6,17251.38,0.054175,183.27,17.31,master_trail
M2,long,base,5,2025-11-23 00:00:00,2025-11-26 16:00:00,86308.54,87422.25,0.014618,252.34,15.0,master_trail
M2,long,base,5,2025-11-26 16:00:00,2025-12-04 16:00:00,89957.36,91055.93,0.014041,252.61,14.15,master_trail
M2,long,base,5,2025-12-14 00:00:00,2026-01-05 12:00:00,90258.98,92461.17,0.013684,247.02,28.87,master_trail
M2,long,base,5,2026-02-01 00:00:00,2026-02-05 20:00:00,78868.28,63094.62,0.015695,247.57,-248.56,liquidation
M2,long,base,10,2026-02-05 20:00:00,2026-02-09 08:00:00,62909.86,69223.61,0.038559,242.58,240.78,master_trail
M2,long,base,5,2026-02-09 08:00:00,2026-02-20 20:00:00,68928.72,68111.12,0.017942,247.34,-15.89,end_of_backtest
